status,accident_index,accident_year,accident_ref_no,vehicle_reference,vehicle_type,vehicle_text
Unvalidated,2021010309084,2021,010309084,1,90,Scooter - Electric Scooter
Unvalidated,2021010309101,2021,010309101,1,90,Scooter - Electric Scooter
Unvalidated,2021010309129,2021,010309129,2,90,Scooter - Electric Scooter
Unvalidated,2021010309157,2021,010309157,2,90,Scooter - Electric Scooter
Unvalidated,2021010309210,2021,010309210,1,90,Scooter - Electric Scooter
Unvalidated,2021010309210,2021,010309210,2,90,Scooter - Electric Scooter
Unvalidated,2021010309399,2021,010309399,3,90,Scooter - Electric Scooter
Unvalidated,2021010309484,2021,010309484,1,90,Scooter - Electric Scooter
Unvalidated,2021010309953,2021,010309953,2,90,Scooter - Electric Scooter
Unvalidated,2021010310040,2021,010310040,2,90,Scooter - Electric Scooter
Unvalidated,2021010310383,2021,010310383,1,90,Scooter - Electric Scooter
Unvalidated,2021010310460,2021,010310460,2,90,Scooter - Electric Scooter
Unvalidated,2021010310630,2021,010310630,1,90,Scooter - Electric Scooter
Unvalidated,2021010310652,2021,010310652,2,90,Scooter - Electric Scooter
Unvalidated,2021010310705,2021,010310705,2,90,Scooter - Electric Scooter
Unvalidated,2021010310775,2021,010310775,1,90,Scooter - Electric Scooter
Unvalidated,2021010310784,2021,010310784,2,90,Scooter - Electric Scooter
Unvalidated,2021010310908,2021,010310908,2,90,Scooter - Electric Scooter
Unvalidated,2021010310957,2021,010310957,2,90,Scooter - Electric Scooter
Unvalidated,2021010311122,2021,010311122,2,90,Scooter - Electric Scooter
Unvalidated,2021010311158,2021,010311158,2,90,Scooter - Electric Scooter
Unvalidated,2021010311393,2021,010311393,1,90,Scooter - Electric Scooter
Unvalidated,2021010311458,2021,010311458,2,90,Scooter - Electric Scooter
Unvalidated,2021010311511,2021,010311511,2,90,Scooter - Electric Scooter
Unvalidated,2021010311610,2021,010311610,2,90,Scooter - Electric Scooter
Unvalidated,2021010311801,2021,010311801,1,90,Scooter - Electric Scooter
Unvalidated,2021010311859,2021,010311859,1,90,Scooter - Electric Scooter
Unvalidated,2021010311943,2021,010311943,1,90,Scooter - Electric Scooter
Unvalidated,2021010312129,2021,010312129,2,90,Scooter - Electric Scooter
Unvalidated,2021010312362,2021,010312362,2,90,Scooter - Electric Scooter
Unvalidated,2021010312375,2021,010312375,1,90,Scooter - Electric Scooter
Unvalidated,2021010312414,2021,010312414,2,90,Scooter - Electric Scooter
Unvalidated,2021010312581,2021,010312581,1,90,Scooter - Electric Scooter
Unvalidated,2021010312878,2021,010312878,2,90,Scooter - Electric Scooter
Unvalidated,2021010312982,2021,010312982,2,90,Scooter - Electric Scooter
Unvalidated,2021010313043,2021,010313043,1,90,Scooter - Electric Scooter
Unvalidated,2021010313114,2021,010313114,2,90,Scooter - Electric Scooter
Unvalidated,2021010313230,2021,010313230,2,90,Scooter - Electric Scooter
Unvalidated,2021010313260,2021,010313260,2,90,Scooter - Electric Scooter
Unvalidated,2021010313323,2021,010313323,2,90,Scooter - Electric Scooter
Unvalidated,2021010313363,2021,010313363,1,90,Scooter - Electric Scooter
Unvalidated,2021010313368,2021,010313368,2,90,Scooter - Electric Scooter
Unvalidated,2021010313388,2021,010313388,1,90,Scooter - Electric Scooter
Unvalidated,2021010313515,2021,010313515,2,90,Scooter - Electric Scooter
Unvalidated,2021010313659,2021,010313659,1,90,Scooter - Electric Scooter
Unvalidated,2021010313674,2021,010313674,1,90,Scooter - Electric Scooter
Unvalidated,2021010313799,2021,010313799,2,90,Scooter - Electric Scooter
Unvalidated,2021010314087,2021,010314087,2,90,Scooter - Electric Scooter
Unvalidated,2021010314315,2021,010314315,2,90,Scooter - Electric Scooter
Unvalidated,2021010314345,2021,010314345,2,90,Scooter - Electric Scooter
Unvalidated,2021010314410,2021,010314410,2,90,Scooter - Electric Scooter
Unvalidated,2021010314467,2021,010314467,1,90,Scooter - Electric Scooter
Unvalidated,2021010314519,2021,010314519,2,90,Scooter - Electric Scooter
Unvalidated,2021010314653,2021,010314653,1,90,Scooter - Electric Scooter
Unvalidated,2021010314803,2021,010314803,2,90,Scooter - Electric Scooter
Unvalidated,2021010314953,2021,010314953,1,90,Scooter - Electric Scooter
Unvalidated,2021010315119,2021,010315119,2,90,Scooter - Electric Scooter
Unvalidated,2021010315190,2021,010315190,2,90,Scooter - Electric Scooter
