status,accident_index,accident_year,accident_reference,vehicle_reference,casualty_reference,casualty_class,sex_of_casualty,age_of_casualty,age_band_of_casualty,casualty_severity,pedestrian_location,pedestrian_movement,car_passenger,bus_or_coach_passenger,pedestrian_road_maintenance_worker,casualty_type,casualty_home_area_type,casualty_imd_decile
Unvalidated,2021010287803,2021,010287803,1,1,1,1,57,9,3,0,0,0,0,0,9,1,3
Unvalidated,2021010287809,2021,010287809,2,1,1,1,29,6,3,0,0,0,0,0,3,1,1
Unvalidated,2021010287818,2021,010287818,2,1,1,1,25,5,3,0,0,0,0,0,1,1,2
Unvalidated,2021010287823,2021,010287823,1,1,3,1,51,8,3,9,9,0,0,0,0,1,3
Unvalidated,2021010287824,2021,010287824,1,1,1,2,37,7,3,0,0,0,0,0,3,1,5
Unvalidated,2021010287831,2021,010287831,2,1,1,1,32,6,2,0,0,0,0,0,3,1,8
Unvalidated,2021010287832,2021,010287832,3,1,1,1,20,4,3,0,0,0,0,0,1,-1,-1
Unvalidated,2021010287833,2021,010287833,1,1,1,1,19,4,3,0,0,0,0,0,3,1,2
Unvalidated,2021010287836,2021,010287836,1,1,1,1,32,6,2,0,0,0,0,0,3,1,5
Unvalidated,2021010287837,2021,010287837,2,1,1,-1,-1,-1,3,0,0,0,0,0,1,1,5
Unvalidated,2021010287838,2021,010287838,2,1,1,1,35,6,2,0,0,0,0,0,1,1,10
Unvalidated,2021010287840,2021,010287840,2,1,1,2,26,6,3,0,0,0,0,0,9,1,8
Unvalidated,2021010287841,2021,010287841,2,1,1,1,46,8,3,0,0,0,0,0,19,1,7
Unvalidated,2021010287841,2021,010287841,2,2,2,1,28,6,3,0,0,0,0,0,19,1,4
Unvalidated,2021010287843,2021,010287843,1,1,1,2,51,8,3,0,0,0,0,0,9,1,3
Unvalidated,2021010287843,2021,010287843,1,2,2,2,-1,-1,3,0,0,1,0,0,9,1,9
Unvalidated,2021010287847,2021,010287847,1,1,1,1,19,4,3,0,0,0,0,0,3,1,1
Unvalidated,2021010287851,2021,010287851,2,1,1,1,13,3,3,0,0,0,0,0,90,1,1
Unvalidated,2021010287855,2021,010287855,1,1,1,1,45,7,2,0,0,0,0,0,3,1,3
Unvalidated,2021010287856,2021,010287856,1,1,1,1,38,7,3,0,0,0,0,0,3,1,2
Unvalidated,2021010287857,2021,010287857,2,1,1,1,28,6,3,0,0,0,0,0,9,1,8
Unvalidated,2021010287859,2021,010287859,2,1,1,1,20,4,3,0,0,0,0,0,9,1,6
Unvalidated,2021010287860,2021,010287860,1,1,3,2,66,10,2,5,1,0,0,0,0,1,2
Unvalidated,2021010287861,2021,010287861,1,1,1,1,37,7,3,0,0,0,0,0,1,1,4
Unvalidated,2021010287867,2021,010287867,1,1,1,2,75,10,2,0,0,0,0,0,9,1,6
Unvalidated,2021010287872,2021,010287872,1,1,1,1,26,6,3,0,0,0,0,0,9,1,5
Unvalidated,2021010287873,2021,010287873,1,1,1,1,38,7,3,0,0,0,0,0,3,1,9
Unvalidated,2021010287876,2021,010287876,2,1,1,1,49,8,2,0,0,0,0,0,2,1,2
Unvalidated,2021010287877,2021,010287877,1,1,1,2,73,10,3,0,0,0,0,0,9,1,3
Unvalidated,2021010287880,2021,010287880,2,1,1,1,36,7,3,0,0,0,0,0,3,1,6
Unvalidated,2021010287882,2021,010287882,1,1,1,1,43,7,3,0,0,0,0,0,9,1,2
Unvalidated,2021010287884,2021,010287884,1,1,3,2,33,6,2,4,1,0,0,0,0,1,8
